time,value
2026-06-17T12:55:18.893472784Z,34
2026-06-17T12:55:29.095694713Z,33
2026-06-17T12:55:55.32314372Z,34
2026-06-17T12:55:59.217920081Z,35
2026-06-17T12:56:10.828195118Z,34
2026-06-17T12:56:22.741562902Z,35
2026-06-17T12:56:24.812813427Z,34
2026-06-17T12:56:30.732284008Z,35
2026-06-17T12:56:34.730258798Z,34
2026-06-17T12:57:20.986279662Z,33
2026-06-17T12:57:25.03035775Z,35
2026-06-17T12:57:28.885140962Z,36
2026-06-17T12:57:30.738458362Z,35
2026-06-17T12:57:34.890235702Z,34
2026-06-17T12:57:54.778128371Z,33
2026-06-17T12:59:32.994192164Z,34
2026-06-17T12:59:58.880678531Z,33
2026-06-17T13:00:08.82655558Z,34
2026-06-17T13:00:16.73897923Z,33
2026-06-17T13:02:58.83593127Z,83
2026-06-17T13:03:00.83121201Z,84
2026-06-17T13:03:04.920908924Z,85
2026-06-17T13:03:15.034544115Z,86
2026-06-17T13:03:17.038761293Z,85
2026-06-17T13:03:20.930240536Z,84
2026-06-17T13:03:26.828848304Z,83
2026-06-17T13:03:28.892241222Z,82
2026-06-17T13:03:36.826059405Z,81
2026-06-17T13:03:40.884277506Z,80
2026-06-17T13:03:44.73375393Z,79
2026-06-17T13:03:46.731500398Z,78
2026-06-17T13:03:50.728495273Z,77
2026-06-17T13:03:52.735891006Z,76
2026-06-17T13:03:54.734356197Z,74
2026-06-17T13:04:00.319498337Z,73
2026-06-17T13:04:00.731156525Z,72
2026-06-17T13:04:02.733234964Z,71
2026-06-17T13:04:04.731356728Z,70
2026-06-17T13:04:06.732809521Z,68
2026-06-17T13:04:08.735928271Z,66
2026-06-17T13:04:10.737022036Z,65
2026-06-17T13:04:12.731995791Z,63
2026-06-17T13:04:14.741179871Z,62
2026-06-17T13:04:16.733423083Z,61
2026-06-17T13:04:18.731992022Z,59
2026-06-17T13:04:20.726918022Z,58
2026-06-17T13:04:22.728243521Z,57
2026-06-17T13:04:24.728422187Z,55
2026-06-17T13:04:28.735008255Z,54
2026-06-17T13:04:30.733307081Z,53
2026-06-17T13:04:32.729605507Z,52
2026-06-17T13:04:34.743112568Z,51
2026-06-17T13:04:36.728670432Z,50
2026-06-17T13:04:38.728898619Z,49
2026-06-17T13:04:42.733733956Z,48
2026-06-17T13:04:44.913353812Z,47
2026-06-17T13:04:48.731015786Z,46
2026-06-17T13:04:50.825979321Z,45
2026-06-17T13:04:56.735442404Z,44
2026-06-17T13:05:04.731623674Z,43
2026-06-17T13:05:14.729505021Z,42
2026-06-17T13:05:20.73674369Z,41
2026-06-17T13:05:28.729527818Z,40
2026-06-17T13:05:54.731131119Z,39
2026-06-17T13:06:56.733634735Z,38
2026-06-17T13:07:13.342401478Z,39
2026-06-17T13:07:31.112681558Z,40
2026-06-17T13:07:42.916760449Z,46
2026-06-17T13:07:44.738693771Z,52
2026-06-17T13:07:48.815194846Z,51
2026-06-17T13:07:50.731625985Z,50
2026-06-17T13:07:52.733272344Z,49
2026-06-17T13:07:54.730823197Z,48
2026-06-17T13:07:56.728159768Z,46
2026-06-17T13:08:00.732669888Z,45
2026-06-17T13:08:04.732324726Z,44
2026-06-17T13:08:08.73361173Z,43
2026-06-17T13:08:10.729552895Z,42
2026-06-17T13:08:12.728904019Z,41
2026-06-17T13:08:14.895453097Z,40
2026-06-17T13:08:24.932269959Z,39
2026-06-17T13:08:36.811461247Z,38
2026-06-17T13:08:58.739684712Z,37
2026-06-17T13:10:18.729812434Z,36
2026-06-17T13:10:32.337818064Z,37
2026-06-17T13:11:20.731625557Z,36
2026-06-17T13:12:24.729847745Z,35
2026-06-17T13:12:38.727945728Z,36
2026-06-17T13:13:22.812599088Z,35
2026-06-17T13:13:32.821022489Z,36
2026-06-17T13:15:00.730474127Z,35
2026-06-17T13:34:31.02991329Z,36
2026-06-17T13:34:35.129315024Z,35
2026-06-17T13:34:39.130389342Z,77
2026-06-17T13:34:41.077536593Z,78
2026-06-17T13:34:45.025879523Z,77
2026-06-17T13:34:47.084061545Z,76
2026-06-17T13:34:48.832750185Z,75
2026-06-17T13:34:50.915560796Z,74
2026-06-17T13:34:52.815377878Z,73
2026-06-17T13:34:54.827091224Z,72
2026-06-17T13:34:56.824473786Z,70
2026-06-17T13:34:58.739034174Z,69
2026-06-17T13:35:00.737239999Z,66
2026-06-17T13:35:02.733778033Z,64
2026-06-17T18:57:22.484675565Z,46
2026-06-17T18:57:22.982344294Z,45
2026-06-17T18:57:40.65568074Z,44
2026-06-17T18:58:46.729452423Z,43
2026-06-17T19:00:28.650791329Z,44
2026-06-17T19:00:30.651845638Z,43
2026-06-17T19:01:56.816247301Z,42
2026-06-17T19:02:46.729834718Z,43
2026-06-17T19:02:50.724278627Z,42
2026-06-17T19:08:30.651835103Z,41
2026-06-17T19:08:36.716418783Z,42
2026-06-17T19:08:42.711262989Z,41
2026-06-17T19:08:44.729462864Z,42
2026-06-17T19:09:26.716095132Z,43
2026-06-17T19:09:32.653454032Z,42
2026-06-17T19:10:26.654179462Z,41
2026-06-17T19:10:28.653195028Z,42
2026-06-17T19:10:44.653263841Z,41
2026-06-17T19:10:50.651501252Z,42
2026-06-17T19:10:56.65244676Z,41
2026-06-17T19:11:12.652102741Z,42
2026-06-17T19:11:18.653753945Z,41
2026-06-17T19:14:54.740869454Z,42
2026-06-17T19:15:02.734091172Z,41
2026-06-17T19:15:32.653360561Z,42
2026-06-17T19:15:40.657480958Z,41
2026-06-17T19:18:26.70969912Z,42
2026-06-17T19:18:36.653994671Z,41
2026-06-17T19:20:55.127114635Z,42
2026-06-17T19:21:00.702467013Z,41
2026-06-17T19:21:08.728462523Z,42
2026-06-17T19:21:48.653197512Z,41
2026-06-17T19:23:50.653419515Z,42
2026-06-17T19:24:00.654058896Z,41
2026-06-17T19:24:12.659765294Z,42
2026-06-17T19:24:22.655100315Z,41
2026-06-17T19:25:04.655498806Z,42
2026-06-17T19:26:40.65523568Z,41
2026-06-17T19:26:48.66306452Z,42
2026-06-17T19:27:00.715681516Z,41
2026-06-17T19:27:13.015587132Z,42
2026-06-17T19:27:14.918231955Z,41
2026-06-17T19:27:24.720124399Z,42
2026-06-17T19:27:26.778304162Z,41
2026-06-17T19:27:40.827372427Z,42
2026-06-17T19:27:42.823047585Z,41
2026-06-17T19:27:46.87762992Z,42
2026-06-17T19:31:04.657857806Z,43
2026-06-17T19:31:08.662925918Z,42
2026-06-17T19:31:14.65610373Z,43
2026-06-17T19:31:22.656196895Z,42
2026-06-17T19:39:58.65562859Z,41
2026-06-17T19:40:02.659077679Z,42
2026-06-17T19:40:34.735431859Z,41
2026-06-17T19:41:02.72704718Z,42
2026-06-17T19:41:20.416443103Z,41
2026-06-17T19:41:22.717845468Z,42
2026-06-17T19:41:52.655988302Z,41
2026-06-17T19:42:08.655556596Z,42
2026-06-17T19:42:10.660365303Z,41
2026-06-17T19:42:30.482796731Z,42
2026-06-17T19:42:30.730768497Z,41
2026-06-17T19:42:36.657523862Z,42
2026-06-17T19:45:58.658776291Z,41
2026-06-17T19:46:02.7261241Z,42
2026-06-17T19:48:18.728110032Z,41
2026-06-17T19:48:26.720331853Z,42
2026-06-17T19:48:42.778208024Z,41
2026-06-17T19:49:04.657290772Z,42
2026-06-17T19:49:16.659254704Z,41
2026-06-17T19:49:24.65897643Z,42
2026-06-17T19:52:42.657842986Z,41
2026-06-17T19:52:50.875201629Z,42
2026-06-17T20:31:00.667238052Z,43
2026-06-17T20:32:06.724375357Z,42
2026-06-17T20:32:20.667312921Z,43
2026-06-17T20:32:30.665827276Z,42
2026-06-17T21:05:28.671525873Z,41
