time,value
2026-06-17T13:11:06.735162261Z,87
2026-06-17T13:11:10.728743514Z,89
2026-06-17T13:11:12.740790672Z,88
2026-06-17T13:11:18.729361124Z,85
2026-06-17T13:11:20.731625557Z,87
2026-06-17T13:11:24.73315065Z,86
2026-06-17T13:11:26.734478715Z,88
2026-06-17T13:11:28.731034385Z,87
2026-06-17T13:11:30.731993852Z,86
2026-06-17T13:11:34.737764361Z,88
2026-06-17T13:11:36.729456777Z,87
2026-06-17T13:11:38.728667193Z,86
2026-06-17T13:11:40.737857599Z,89
2026-06-17T13:11:44.730247795Z,87
2026-06-17T13:11:46.731364141Z,88
2026-06-17T13:11:50.730103481Z,89
2026-06-17T13:11:52.730363733Z,86
2026-06-17T13:11:54.73239785Z,87
2026-06-17T13:11:56.743642546Z,88
2026-06-17T13:11:58.728958919Z,89
2026-06-17T13:12:00.735874631Z,87
2026-06-17T13:12:02.730690907Z,88
2026-06-17T13:12:08.731558887Z,86
2026-06-17T13:12:10.736376317Z,87
2026-06-17T13:12:12.73856027Z,88
2026-06-17T13:12:18.728134606Z,86
2026-06-17T13:12:20.72714676Z,88
2026-06-17T13:12:22.733277164Z,86
2026-06-17T13:12:24.729847745Z,88
2026-06-17T13:12:26.729862746Z,86
2026-06-17T13:12:28.731467957Z,88
2026-06-17T13:12:30.735559168Z,87
2026-06-17T13:12:32.729338166Z,86
2026-06-17T13:12:34.731466181Z,87
2026-06-17T13:12:38.727945728Z,86
2026-06-17T13:12:42.730702212Z,87
2026-06-17T13:12:44.822914744Z,88
2026-06-17T13:12:46.901467559Z,86
2026-06-17T13:12:48.894181779Z,89
2026-06-17T13:12:50.908561518Z,86
2026-06-17T13:12:56.83222101Z,88
2026-06-17T13:13:00.913718422Z,87
2026-06-17T13:13:02.821929981Z,86
2026-06-17T13:13:04.808696036Z,85
2026-06-17T13:13:06.818505531Z,87
2026-06-17T13:13:12.819309179Z,85
2026-06-17T13:13:14.732174289Z,88
2026-06-17T13:13:30.905148595Z,86
2026-06-17T13:13:32.821022489Z,88
2026-06-17T13:13:34.804986976Z,86
2026-06-17T13:13:38.828988442Z,89
2026-06-17T13:13:40.734840866Z,86
2026-06-17T13:13:42.817838973Z,87
2026-06-17T13:13:44.893799505Z,85
2026-06-17T13:13:46.731577145Z,87
2026-06-17T13:13:50.728293319Z,88
2026-06-17T13:13:54.734391929Z,89
2026-06-17T13:13:56.729521364Z,85
2026-06-17T13:13:58.72844237Z,88
2026-06-17T13:14:00.793857065Z,87
2026-06-17T13:14:02.730996181Z,88
2026-06-17T13:14:04.729309992Z,89
2026-06-17T13:14:06.736384352Z,88
2026-06-17T13:14:08.74029804Z,86
2026-06-17T13:14:10.732939817Z,87
2026-06-17T13:14:16.736372598Z,88
2026-06-17T13:14:18.731053955Z,87
2026-06-17T13:14:20.885322201Z,86
2026-06-17T13:14:22.947725779Z,88
2026-06-17T13:14:24.813563709Z,87
2026-06-17T13:14:30.784949347Z,86
2026-06-17T13:14:32.735847866Z,87
2026-06-17T13:14:34.73107473Z,88
2026-06-17T13:14:36.730839081Z,86
2026-06-17T13:14:38.737613964Z,87
2026-06-17T13:14:42.736495823Z,88
2026-06-17T13:14:46.732005382Z,87
